epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5488839149475098,9.999999747378752e-05,1.0913562774658203,0.8089285492897034,0.6438067555427551
1,0.7479910850524902,9.999999747378752e-05,0.658401608467102,0.8357142806053162,0.4967406094074249
2,0.7816964387893677,9.999999747378752e-05,0.5677576065063477,0.8410714268684387,0.4515606164932251
3,0.8189732432365417,9.999999747378752e-05,0.49479833245277405,0.8500000238418579,0.4068206548690796
4,0.8214285969734192,9.999999747378752e-05,0.48293423652648926,0.8669642806053162,0.3867100477218628
5,0.8366071581840515,9.999999747378752e-05,0.4480798840522766,0.8714285492897034,0.3610679805278778
6,0.8508928418159485,9.999999747378752e-05,0.41458696126937866,0.8812500238418579,0.3478293716907501
7,0.8555803298950195,9.999999747378752e-05,0.3971666097640991,0.8803571462631226,0.33263328671455383
8,0.8573660850524902,9.999999747378752e-05,0.396058052778244,0.8883928656578064,0.3351626992225647
9,0.8604910969734192,9.999999747378752e-05,0.3839704096317291,0.8919642567634583,0.3205743134021759
10,0.8683035969734192,9.999999747378752e-05,0.36799633502960205,0.8928571343421936,0.3248654007911682
0,0.5564731955528259,9.999999747378752e-05,1.042435884475708,0.7705357074737549,0.637636125087738
1,0.7448660731315613,9.999999747378752e-05,0.6737095713615417,0.8348214030265808,0.5021013617515564
2,0.785937488079071,9.999999747378752e-05,0.5635954737663269,0.8446428775787354,0.45193183422088623
3,0.8140624761581421,9.999999747378752e-05,0.5163406729698181,0.8535714149475098,0.40487658977508545
4,0.8194196224212646,9.999999747378752e-05,0.48084521293640137,0.862500011920929,0.38498514890670776
5,0.8330357074737549,9.999999747378752e-05,0.46003004908561707,0.8678571581840515,0.3642471432685852
6,0.8415178656578064,9.999999747378752e-05,0.432600736618042,0.8705357313156128,0.35416218638420105
7,0.8439732193946838,9.999999747378752e-05,0.41615524888038635,0.8803571462631226,0.3307099938392639
8,0.8524553775787354,9.999999747378752e-05,0.4062154293060303,0.8607142567634583,0.37154969573020935
9,0.8560267686843872,9.999999747378752e-05,0.3846242427825928,0.8857142925262451,0.33113616704940796
10,0.8633928298950195,9.999999747378752e-05,0.3628838062286377,0.887499988079071,0.32006967067718506
11,0.8683035969734192,9.999999747378752e-05,0.35967594385147095,0.8857142925262451,0.30982843041419983
12,0.8714285492897034,9.999999747378752e-05,0.3619413375854492,0.8848214149475098,0.30894678831100464
13,0.8669642806053162,9.999999747378752e-05,0.3534277379512787,0.8901785612106323,0.30442145466804504
14,0.8756696581840515,9.999999747378752e-05,0.3413325846195221,0.8839285969734192,0.29885873198509216
15,0.8723214268684387,9.999999747378752e-05,0.33597779273986816,0.8848214149475098,0.2967205345630646
16,0.8814732432365417,9.999999747378752e-05,0.32231903076171875,0.8964285850524902,0.2896062135696411
17,0.8819196224212646,9.999999747378752e-05,0.3121589422225952,0.8999999761581421,0.290037602186203
18,0.8897321224212646,9.999999747378752e-05,0.3101777732372284,0.90625,0.2817695438861847
19,0.8834821581840515,9.999999747378752e-05,0.31262534856796265,0.8848214149475098,0.29673436284065247
0,0.5703125,9.999999747378752e-05,1.0309480428695679,0.7973214387893677,0.6134636402130127
1,0.7537946701049805,9.999999747378752e-05,0.6558539867401123,0.8330357074737549,0.4845511317253113
2,0.7857142686843872,9.999999747378752e-05,0.56670081615448,0.8571428656578064,0.43092578649520874
3,0.8187500238418579,9.999999747378752e-05,0.5054534077644348,0.8616071343421936,0.3894420266151428
4,0.8229910731315613,9.999999747378752e-05,0.4763568937778473,0.8616071343421936,0.3873075246810913
5,0.8339285850524902,9.999999747378752e-05,0.44285351037979126,0.8857142925262451,0.3559595048427582
6,0.8424107432365417,9.999999747378752e-05,0.4256719946861267,0.8696428537368774,0.36245545744895935
7,0.8453124761581421,9.999999747378752e-05,0.41400715708732605,0.8848214149475098,0.33701780438423157
8,0.8560267686843872,9.999999747378752e-05,0.38538700342178345,0.8705357313156128,0.350470632314682
9,0.8669642806053162,9.999999747378752e-05,0.3653426766395569,0.8901785612106323,0.31295228004455566
10,0.8680803775787354,9.999999747378752e-05,0.36411288380622864,0.8910714387893677,0.31035616993904114
11,0.8723214268684387,9.999999747378752e-05,0.3520914614200592,0.8892857432365417,0.3103208839893341
12,0.8720982074737549,9.999999747378752e-05,0.3437860310077667,0.9071428775787354,0.2833402752876282
13,0.8671875,9.999999747378752e-05,0.34980282187461853,0.8883928656578064,0.31823551654815674
14,0.8814732432365417,9.999999747378752e-05,0.3332531750202179,0.8955357074737549,0.31054291129112244
15,0.8832589387893677,9.999999747378752e-05,0.32133328914642334,0.9080356955528259,0.2825932502746582
16,0.8814732432365417,9.999999747378752e-05,0.32839086651802063,0.8973214030265808,0.2947920262813568
17,0.8879464268684387,9.999999747378752e-05,0.31050536036491394,0.8848214149475098,0.3011546730995178
18,0.8854910731315613,9.999999747378752e-05,0.3134169578552246,0.9116071462631226,0.26777705550193787
19,0.8839285969734192,9.999999747378752e-05,0.31440800428390503,0.9035714268684387,0.2806491553783417
